%time,field.header.seq,field.header.stamp,field.header.frame_id,field.spi1_miss,field.spi2_miss,field.uart_miss,field.objects0.slot,field.objects0.code,field.objects0.adc1,field.objects0.adc2,field.objects0.adc3,field.objects0.adc4,field.objects0.adc5,field.objects0.adc6,field.objects0.adc7,field.objects0.adc8,field.objects0.adc9,field.objects0.adc10,field.objects0.adc11,field.objects0.adc12,field.objects0.adc13,field.objects0.adc14,field.objects0.adc15,field.objects0.adc16
1448859421305018076,9778,1448859421304581711,,0,0,0,8,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859421319809871,9779,1448859421319463042,,0,0,0,7,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859421334895402,9780,1448859421334540685,,0,0,0,6,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859421349744597,9781,1448859421349452412,,0,0,0,4,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859421364885463,9782,1448859421364507717,,0,0,0,3,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859421379859922,9783,1448859421379483652,,0,0,0,2,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859421394783228,9784,1448859421394407436,,0,0,0,0,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0,1,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0
1448859421409744368,9785,1448859421409417199,,0,0,0,49,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859421424842560,9786,1448859421424468913,,0,0,0,48,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859421439699993,9787,1448859421439385427,,0,0,0,47,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859421454816979,9788,1448859421454444371,,0,0,0,45,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0
1448859421469728796,9789,1448859421469390489,,0,0,0,44,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859421484823204,9790,1448859421484452613,,0,0,0,43,1048575,0,0,0,0,0,0,0,0,594,575,579,0,0,0,0,0
